00VS               20080711                                                                                   
0601VSA0d       20080101003830100000010000 0000000000003196   
0601VSA0d       20080101003840100000010000 0000000000003196   
0601VSA0d       20080101003850100000010000 0000000000003197   
0601VSA0d       20080101003860100000010000 0000000000003198   
0601VSA0d       20080101003870100000010000 0000000000003199   
0601VSA0d       20080101003880100000010000 0000000000003200   
0601VSA0d       20080101003890100000010000 0000000000003201   
0601VSA0d       20080101003900100000010000 0000000000003202   
0601VSA0d       20080101003910100000010000 0000000000003202   
0601VSA0d       20080101003920100000010000 0000000000003203   
0601VSA0d       20080101003930100000010000 0000000000003204   
0601VSA0d       20080101003940100000010000 0000000000003205   
0601VSA0d       20080101003950100000010000 0000000000003206   
0601VSA0d       20080101003960100000010000 0000000000003207   
0601VSA0d       20080101003970100000010000 0000000000003208   
0601VSA0d       20080101003980100000010000 0000000000003209   
0601VSA0d       20080101003990100000010000 0000000000003209   
0601VSA0d       20080101004000100000010000 0000000000003210   
0601VSA0d       20080101004010100000010000 0000000000003211   
0601VSA0d       20080101004020100000010000 0000000000003212   
0601VSA0d       20080101004030100000010000 0000000000003213   
0601VSA0d       20080101004040100000010000 0000000000003214   
0601VSA0d       20080101004050100000010000 0000000000003215   
0601VSA0d       20080101004060100000010000 0000000000003215   
0601VSA0d       20080101004070100000010000 0000000000003216   
0601VSA0d       20080101004080100000010000 0000000000003217   
0601VSA0d       20080101004090100000010000 0000000000003218   
0601VSA0d       20080101004100100000010000 0000000000003219   
0601VSA0d       20080101004110100000010000 0000000000003219   
0601VSA0d       20080101004120100000010000 0000000000003220   
0601VSA0d       20080101004130100000010000 0000000000003221   
0601VSA0d       20080101004140100000010000 0000000000003222   
0601VSA0d       20080101004150100000010000 0000000000003223   
0601VSA0d       20080101004160100000010000 0000000000003224   
0601VSA0d       20080101004170100000010000 0000000000003225   
0601VSA0d       20080101004180100000010000 0000000000003225   
0601VSA0d       20080101004190100000010000 0000000000003226   
0601VSA0d       20080101004200100000010000 0000000000003227   
0601VSA0d       20080101004210100000010000 0000000000003227   
0601VSA0d       20080101004220100000010000 0000000000003228   
0601VSA0d       20080101004230100000010000 0000000000003229   
0601VSA0d       20080101004240100000010000 0000000000003230   
0601VSA0d       20080101004250100000010000 0000000000003230   
0601VSA0d       20080101004260100000010000 0000000000003231   
0601VSA0d       20080101004270100000010000 0000000000003232   
0601VSA0d       20080101004280100000010000 0000000000003233   
0601VSA0d       20080101004290100000010000 0000000000003233   
0601VSA0d       20080101004300100000010000 0000000000003234   
0601VSA0d       20080101004310100000010000 0000000000003235   
0601VSA0d       20080101004320100000010000 0000000000003236   
0601VSA0d       20080101004330100000010000 0000000000003236   
0601VSA0d       20080101004340100000010000 0000000000003237   
0601VSA0d       20080101004350100000010000 0000000000003238   
0601VSA0d       20080101004360100000010000 0000000000003238   
0601VSA0d       20080101004370100000010000 0000000000003239   
0601VSA0d       20080101004380100000010000 0000000000003240   
0601VSA0d       20080101004390100000010000 0000000000003241   
0601VSA0d       20080101004400100000010000 0000000000003241   
0601VSA0d       20080101004410100000010000 0000000000003242   
0601VSA0d       20080101004420100000010000 0000000000003243   
0601VSA0d       20080101004430100000010000 0000000000003244   
0601VSA0d       20080101004440100000010000 0000000000003244   
0601VSA0d       20080101004450100000010000 0000000000003245   
0601VSA0d       20080101004460100000010000 0000000000003246   
0601VSA0d       20080101004470100000010000 0000000000003246   
0601VSA0d       20080101004480100000010000 0000000000003247   
0601VSA0d       20080101004490100000010000 0000000000003247   
0601VSA0d       20080101004500100000010000 0000000000003248   
0601VSA0d       20080101004510100000010000 0000000000003249   
0601VSA0d       20080101004520100000010000 0000000000003249   
0601VSA0d       20080101004530100000010000 0000000000003250   
0601VSA0d       20080101004540100000010000 0000000000003251   
0601VSA0d       20080101004550100000010000 0000000000003251   
0601VSA0d       20080101004560100000010000 0000000000003252   
0601VSA0d       20080101004570100000010000 0000000000003253   
0601VSA0d       20080101004580100000010000 0000000000003254   
0601VSA0d       20080101004590100000010000 0000000000003254   
0601VSA0d       20080101004600100000010000 0000000000003255   
0601VSA0d       20080101004610100000010000 0000000000003255   
0601VSA0d       20080101004620100000010000 0000000000003256   
0601VSA0d       20080101004630100000010000 0000000000003256   
0601VSA0d       20080101004640100000010000 0000000000003257   
0601VSA0d       20080101004650100000010000 0000000000003258   
0601VSA0d       20080101004660100000010000 0000000000003258   
0601VSA0d       20080101004670100000010000 0000000000003259   
0601VSA0d       20080101004680100000010000 0000000000003260   
0601VSA0d       20080101004690100000010000 0000000000003261   
0601VSA0d       20080101004700100000010000 0000000000003261   
0601VSA0d       20080101004710100000010000 0000000000003261   
0601VSA0d       20080101004720100000010000 0000000000003262   
0601VSA0d       20080101004730100000010000 0000000000003263   
0601VSA0d       20080101004740100000010000 0000000000003263   
0601VSA0d       20080101004750100000010000 0000000000003264   
0601VSA0d       20080101004760100000010000 0000000000003265   
0601VSA0d       20080101004770100000010000 0000000000003266   
0601VSA0d       20080101004780100000010000 0000000000003266   
0601VSA0d       20080101004790100000010000 0000000000003266   
0601VSA0d       20080101004800100000010000 0000000000003267   
0601VSA0d       20080101004810100000010000 0000000000003268   
0601VSA0d       20080101004820100000010000 0000000000003268   
0601VSA0d       20080101004830100000010000 0000000000003269   
0601VSA0d       20080101004840100000010000 0000000000003270   
0601VSA0d       20080101004850100000010000 0000000000003270   
0601VSA0d       20080101004860100000010000 0000000000003270   
0601VSA0d       20080101004870100000010000 0000000000003271   
0601VSA0d       20080101004880100000010000 0000000000003272   
0601VSA0d       20080101004890100000010000 0000000000003272   
0601VSA0d       20080101004900100000010000 0000000000003273   
0601VSA0d       20080101004910100000010000 0000000000003274   
0601VSA0d       20080101004920100000010000 0000000000003274   
0601VSA0d       20080101004930100000010000 0000000000003274   
0601VSA0d       20080101004940100000010000 0000000000003275   
0601VSA0d       20080101004950100000010000 0000000000003276   
0601VSA0d       20080101004960100000010000 0000000000003276   
0601VSA0d       20080101004970100000010000 0000000000003277   
0601VSA0d       20080101004980100000010000 0000000000003277   
0601VSA0d       20080101004990100000010000 0000000000003278   
0601VSA0d       20080101005000100000010000 0000000000003278   
0601VSB0d       20080101000000100000050000 0000000000000000   
0601VSB0d       20080101000050100000010000 0000000000000000   
0601VSB0d       20080101000060100000010000 0000000000000000   
0601VSB0d       20080101000070100000010000 0000000000000000   
0601VSB0d       20080101000080100000010000 0000000000000000   
0601VSB0d       20080101000090100000010000 0000000000000000   
0601VSB0d       20080101000100100000010000 0000000000000000   
0601VSB0d       20080101000110100000010000 0000000000000000   
0601VSB0d       20080101000120100000010000 0000000000000000   
0601VSB0d       20080101000130100000010000 0000000000000000   
