00VD               20071108                                                                                   
0601VDA0+       20080101003200100000050000 0000108259303383   
0601VDA0+       20080101003250100000050000 0000110470803399   
0601VDA0+       20080101003300100000050000 0000112632403413   
0601VDA0+       20080101003350100000050000 0000114841403428   
0601VDA0+       20080101003400100000050000 0000117031403442   
0601VDA0+       20080101003450100000050000 0000119200903455   
0601VDA0+       20080101003500100000050000 0000121418403469   
0601VDA0+       20080101003550100000050000 0000123614403482   
0601VDA0+       20080101003600100000050000 0000125787403494   
0601VDA0+       20080101003650100000050000 0000127972503506   
0601VDA0+       20080101003700100000050000 0000130206503519   
0601VDA0+       20080101003750100000050000 0000132341003529   
0601VDA0+       20080101003800100000050000 0000134561503541   
0601VDA0+       20080101003850100000050000 0000136755503552   
0601VDA0+       20080101003900100000050000 0000138921503562   
0601VDA0+       20080101003950100000050000 0000141137003573   
0601VDA0+       20080101004000100000050000 0000143363503584   
0601VDA0+       20080101004050100000050000 0000145520003593   
0601VDA0+       20080101004100100000050000 0000147726603603   
0601VDA0+       20080101004150100000050000 0000149943103613   
0601VDA0+       20080101004200100000050000 0000152085603621   
0601VDA0+       20080101004250100000050000 0000154278603630   
0601VDA0+       20080101004300100000050000 0000156523603640   
0601VDA0+       20080101004350100000050000 0000158691603648   
0601VDA0+       20080101004400100000050000 0000160867603656   
0601VDA0+       20080101004450100000050000 0000163096103665   
0601VDA0+       20080101004500100000050000 0000165243603672   
0601VDA0+       20080101004550100000050000 0000167443603680   
0601VDA0+       20080101004600100000050000 0000169651603688   
0601VDA0+       20080101004650100000050000 0000171821103695   
0601VDA0+       20080101004700100000050000 0000174044703703   
0601VDA0+       20080101004750100000050000 0000176228703710   
0601VDA0+       20080101004800100000050000 0000178419703717   
0601VDA0+       20080101004850100000050000 0000180617703724   
0601VDA0+       20080101004900100000050000 0000182822703731   
0601VDA0+       20080101004950100000050000 0000184985203737   
0601VDA0+       20080101005000100000050000 0000187203703744   
0601VDA0+       20080101005050100000050000 0000189429203751   
0601VDA0+       20080101005100100000050000 0000191559703756   
0601VDA0+       20080101005150100000050000 0000193798203763   
0601VDA0+       20080101005200100000050000 0000195991703769   
0601VDA0+       20080101005250100000050000 0000198138703774   
0601VDA0+       20080101005300100000050000 0000200343703780   
0601VDA0+       20080101005350100000050000 0000202554703786   
0601VDA0+       20080101005400100000050000 0000204717703791   
0601VDA0+       20080101005450100000050000 0000206940203797   
0601VDA0+       20080101005500100000050000 0000209168803803   
0601VDA0+       20080101005550100000050000 0000211292303807   
0601VDA0+       20080101005600100000050000 0000213531803813   
0601VDA0+       20080101005650100000050000 0000215720803818   
0601VDA0+       20080101005700100000050000 0000217914803823   
0601VDA0+       20080101005750100000050000 0000220113803828   
0601VDA0+       20080101005800100000050000 0000222317803833   
0601VDA0+       20080101005850100000050000 0000224468303837   
0601VDA0+       20080101005900100000050000 0000226681803842   
0601VDA0+       20080101005950100000050000 0000228900303847   
0601VDA0+       20080101006000100000050000 0000231063803851   
0601VDA0+       20080101006050100000050000 0000233291803856   
0601VDA0+       20080101006100100000050000 0000235463803860   
0601VDA0+       20080101006150100000050000 0000237701303865   
0601VDA0+       20080101006200100000050000 0000239819803868   
0601VDA0+       20080101006250100000050000 0000242066303873   
0601VDA0+       20080101006300100000050000 0000244254803877   
0601VDA0+       20080101006350100000050000 0000246447303881   
0601VDA0+       20080101006400100000050000 0000248643803885   
0601VDA0+       20080101006450100000050000 0000250844303889   
0601VDA0+       20080101006500100000050000 0000252983803892   
0601VDA0+       20080101006550100000050000 0000255191803896   
0601VDA0+       20080101006600100000050000 0000257403903900   
0601VDA0+       20080101006650100000050000 0000259619903904   
0601VDA0+       20080101006700100000050000 0000261772903907   
0601VDA0+       20080101006750100000050000 0000263928903910   
0601VDA0+       20080101006800100000050000 0000266019903912   
0601VDA0+       20080101006850100000050000 0000268181403915   
0601VDA0+       20080101006900100000050000 0000270345903918   
0601VDA0+       20080101006950100000050000 0000272374403919   
0601VDA0+       20080101007000100000050000 0000274543903922   
0601VDA0+       20080101007050100000050000 0000276645903924   
0601VDA0+       20080101007100100000050000 0000278749903926   
0601VDA0+       20080101007150100000050000 0000280855903928   
0601VDA0+       20080101007200100000050000 0000283035903931   
0601VDA0+       20080101007250100000050000 0000285146403933   
