00SH               20081219                                                                                   
0601SHA0d       20090101002125100000005000 0000052730002478   
0601SHA0d       20090101002130100000005000 0000052880002480   
0601SHA0d       20090101002135100000005000 0000053050002482   
0601SHA0d       20090101002140100000005000 0000053190002483   
0601SHA0d       20090101002145100000005000 0000053330002483   
0601SHA0d       20090101002150100000005000 0000053500002485   
0601SHA0d       20090101002155100000005000 0000053650002487   
0601SHA0d       20090101002160100000005000 0000053790002487   
0601SHA0d       20090101002165100000005000 0000053960002490   
0601SHA0d       20090101002170100000005000 0000054100002490   
0601SHA0d       20090101002175100000005000 0000054270002492   
0601SHA0d       20090101002180100000005000 0000054420002493   
0601SHA0d       20090101002185100000005000 0000054560002494   
0601SHA0d       20090101002190100000005000 0000054730002496   
0601SHA0d       20090101002195100000005000 0000054870002497   
0601SHA0d       20090101002200100000005000 0000055010002498   
0601SHA0d       20090101002205100000005000 0000055180002500   
0601SHA0d       20090101002210100000005000 0000055330002501   
0601SHA0d       20090101002215100000005000 0000055500002503   
0601SHA0d       20090101002220100000005000 0000055640002503   
0601SHA0d       20090101002225100000005000 0000055780002504   
0601SHA0d       20090101002230100000005000 0000055950002506   
0601SHA0d       20090101002235100000005000 0000056100002507   
0601SHA0d       20090101002240100000005000 0000056240002508   
0601SHA0d       20090101002245100000005000 0000056410002510   
0601SHA0d       20090101002250100000005000 0000056550002511   
0601SHA0d       20090101002255100000005000 0000056700002512   
0601SHA0d       20090101002260100000005000 0000056870002514   
0601SHA0d       20090101002265100000005000 0000057010002514   
0601SHA0d       20090101002270100000005000 0000057180002516   
0601SHA0d       20090101002275100000005000 0000057320002517   
0601SHA0d       20090101002280100000005000 0000057460002517   
0601SHA0d       20090101002285100000005000 0000057630002519   
0601SHA0d       20090101002290100000005000 0000057780002520   
0601SHA0d       20090101002295100000005000 0000057920002521   
0601SHA0d       20090101002300100000005000 0000058090002523   
0601SHA0d       20090101002305100000005000 0000058230002524   
0601SHA0d       20090101002310100000005000 0000058380002525   
0601SHA0d       20090101002315100000005000 0000058550002526   
