00OW               20081103                                                                                   
0601OWA1d       20090101000310100000005000 0100001510000483   
0601OWA1d       20090101000315100000005000 0100001570000494   
0601OWA1d       20090101000320100000005000 0100001610000499   
0601OWA1d       20090101000325100000005000 0100001670000510   
0601OWA1d       20090101000330100000005000 0100001730000520   
0601OWA1d       20090101000335100000005000 0100001780000527   
0601OWA1d       20090101000340100000005000 0100001840000537   
0601OWA1d       20090101000345100000005000 0100001900000547   
0601OWA1d       20090101000350100000005000 0100001960000556   
0601OWA1d       20090101000355100000005000 0100002010000562   
0601OWA1d       20090101000360100000005000 0100002070000571   
0601OWA1d       20090101000365100000005000 0100002130000580   
0601OWA1d       20090101000370100000005000 0100002180000585   
0601OWA1d       20090101000375100000005000 0100002240000593   
0601OWA1d       20090101000380100000005000 0100002300000601   
0601OWA1d       20090101000385100000005000 0100002360000609   
0601OWA1d       20090101000390100000005000 0100002410000614   
0601OWA1d       20090101000395100000005000 0100002470000621   
0601OWA1d       20090101000400100000005000 0100002530000629   
0601OWA1d       20090101000405100000005000 0100002590000636   
0601OWA1d       20090101000410100000005000 0100002650000642   
0601OWA1d       20090101000415100000005000 0100002720000651   
0601OWA1d       20090101000420100000005000 0100002780000658   
0601OWA1d       20090101000425100000005000 0100002840000664   
0601OWA1d       20090101000430100000005000 0100002900000671   
0601OWA1d       20090101000435100000005000 0100002980000681   
0601OWA1d       20090101000440100000005000 0100003050000689   
0601OWA1d       20090101000445100000005000 0100003120000697   
0601OWA1d       20090101000450100000005000 0100003180000703   
0601OWA1d       20090101000455100000005000 0100003250000710   
0601OWA1d       20090101000460100000005000 0100003330000720   
0601OWA1d       20090101000465100000005000 0100003390000725   
0601OWA1d       20090101000470100000005000 0100003460000732   
0601OWA1d       20090101000475100000005000 0100003530000739   
0601OWA1d       20090101000480100000005000 0100003610000748   
0601OWA1d       20090101000485100000005000 0100003680000755   
0601OWA1d       20090101000490100000005000 0100003740000759   
0601OWA1d       20090101000495100000005000 0100003810000766   
