00TI               20081223                                                                                   
0601TIA0d       20090101002610100000005000 0000000000002580   
0601TIA0d       20090101002615100000005000 0000000000002580   
0601TIA0d       20090101002620100000005000 0000000000002580   
0601TIA0d       20090101002625100000005000 0000000000002590   
0601TIA0d       20090101002630100000005000 0000000000002590   
0601TIA0d       20090101002635100000005000 0000000000002590   
0601TIA0d       20090101002640100000005000 0000000000002590   
0601TIA0d       20090101002645100000005000 0000000000002590   
0601TIA0d       20090101002650100000005000 0000000000002590   
0601TIA0d       20090101002655100000005000 0000000000002600   
0601TIA0d       20090101002660100000005000 0000000000002600   
0601TIA0d       20090101002665100000005000 0000000000002600   
0601TIA0d       20090101002670100000005000 0000000000002600   
0601TIA0d       20090101002675100000005000 0000000000002600   
0601TIA0d       20090101002680100000005000 0000000000002600   
0601TIA0d       20090101002685100000005000 0000000000002610   
0601TIA0d       20090101002690100000005000 0000000000002610   
