00ZH               20071005                                                                                   
0601ZHA1d       20080101000390100000005000 0100001050000268   
0601ZHA1d       20080101000395100000005000 0100001100000277   
0601ZHA1d       20080101000400100000005000 0100001150000286   
0601ZHA1d       20080101000405100000005000 0100001200000294   
0601ZHA1d       20080101000410100000005000 0100001250000303   
0601ZHA1d       20080101000415100000005000 0100001290000309   
0601ZHA1d       20080101000420100000005000 0100001340000317   
0601ZHA1d       20080101000425100000005000 0100001390000325   
0601ZHA1d       20080101000430100000005000 0100001440000333   
0601ZHA1d       20080101000435100000005000 0100001480000338   
0601ZHA1d       20080101000440100000005000 0100001530000346   
0601ZHA1d       20080101000445100000005000 0100001580000353   
0601ZHA1d       20080101000450100000005000 0100001630000360   
0601ZHA1d       20080101000455100000005000 0100001680000367   
0601ZHA1d       20080101000460100000005000 0100001730000374   
0601ZHA1d       20080101000465100000005000 0100001770000379   
0601ZHA1d       20080101000470100000005000 0100001820000385   
0601ZHA1d       20080101000475100000005000 0100001880000394   
0601ZHA1d       20080101000480100000005000 0100001940000402   
0601ZHA1d       20080101000485100000005000 0100001990000408   
0601ZHA1d       20080101000490100000005000 0100002050000416   
0601ZHA1d       20080101000495100000005000 0100002110000424   
0601ZHA1d       20080101000500100000005000 0100002170000432   
0601ZHA1d       20080101000505100000005000 0100002240000441   
0601ZHA1d       20080101000510100000005000 0100002310000451   
0601ZHA1d       20080101000515100000005000 0100002370000458   
0601ZHA1d       20080101000520100000005000 0100002430000465   
0601ZHA1d       20080101000525100000005000 0100002500000474   
0601ZHA1d       20080101000530100000005000 0100002560000481   
0601ZHA1d       20080101000535100000005000 0100002630000489   
0601ZHA1d       20080101000540100000005000 0100002680000494   
0601ZHA1d       20080101000545100000005000 0100002750000502   
0601ZHA1d       20080101000550100000005000 0100002800000507   
0601ZHA1d       20080101000555100000005000 0100002860000513   
0601ZHA1d       20080101000560100000005000 0100002920000519   
0601ZHA1d       20080101000565100000005000 0100002970000523   
0601ZHA1d       20080101000570100000005000 0100003030000529   
0601ZHA1d       20080101000575100000005000 0100003090000535   
0601ZHA1d       20080101000580100000005000 0100003160000542   
0601ZHA1d       20080101000585100000005000 0100003220000548   
0601ZHA1d       20080101000590100000005000 0100003290000555   
0601ZHA1d       20080101000595100000005000 0100003360000562   
0601ZHA1d       20080101000600100000005000 0100003420000568   
0601ZHA1d       20080101000605100000005000 0100003490000574   
0601ZHA1d       20080101000610100000005000 0100003550000580   
0601ZHA1d       20080101000615100000005000 0100003630000588   
0601ZHA1d       20080101000620100000005000 0100003690000593   
0601ZHA1d       20080101000625100000005000 0100003750000598   
0601ZHA1d       20080101000630100000005000 0100003820000604   
0601ZHA1d       20080101000635100000005000 0100003880000609   
0601ZHA1d       20080101000640100000005000 0100003960000616   
0601ZHA1d       20080101000645100000005000 0100004020000621   
0601ZHA1d       20080101000650100000005000 0100004080000625   
0601ZHA1d       20080101000655100000005000 0100004160000633   
0601ZHA1d       20080101000660100000005000 0100004220000637   
0601ZHA1d       20080101000665100000005000 0100004290000643   
0601ZHA1d       20080101000670100000005000 0100004360000648   
0601ZHA1d       20080101000675100000005000 0100004420000652   
0601ZHA1d       20080101000680100000005000 0100004490000658   
0601ZHA1d       20080101000685100000005000 0100004560000663   
0601ZHA1d       20080101000690100000005000 0100004630000669   
0601ZHA1d       20080101000695100000005000 0100004690000672   
0601ZHA1d       20080101000700100000005000 0100004770000679   
0601ZHA1d       20080101000705100000005000 0100004830000683   
0601ZHA1d       20080101000710100000005000 0100004900000688   
0601ZHA1d       20080101000715100000005000 0100004990000695   
