00UR               20081210                                                                                   
0601URA0d       20090101002305100000005000 0000043330001878   
0601URA0d       20090101002310100000005000 0000043450001879   
0601URA0d       20090101002315100000005000 0000043590001881   
0601URA0d       20090101002320100000005000 0000043700001882   
0601URA0d       20090101002325100000005000 0000043840001884   
0601URA0d       20090101002330100000005000 0000043960001885   
0601URA0d       20090101002335100000005000 0000044080001886   
0601URA0d       20090101002340100000005000 0000044220001888   
0601URA0d       20090101002345100000005000 0000044330001888   
0601URA0d       20090101002350100000005000 0000044450001889   
0601URA0d       20090101002355100000005000 0000044590001891   
0601URA0d       20090101002360100000005000 0000044710001892   
0601URA0d       20090101002365100000005000 0000044850001894   
0601URA0d       20090101002370100000005000 0000044960001895   
0601URA0d       20090101002375100000005000 0000045080001896   
0601URA0d       20090101002380100000005000 0000045220001898   
0601URA0d       20090101002385100000005000 0000045340001899   
0601URA0d       20090101002390100000005000 0000045450001900   
0601URA0d       20090101002395100000005000 0000045590001902   
0601URA0d       20090101002400100000005000 0000045710001903   
0601URA0d       20090101002405100000005000 0000045820001903   
0601URA0d       20090101002410100000005000 0000045960001905   
0601URA0d       20090101002415100000005000 0000046080001906   
0601URA0d       20090101002420100000005000 0000046220001908   
0601URA0d       20090101002425100000005000 0000046340001909   
0601URA0d       20090101002430100000005000 0000046450001910   
0601URA0d       20090101002435100000005000 0000046590001911   
0601URA0d       20090101002440100000005000 0000046710001912   
0601URA0d       20090101002445100000005000 0000046830001913   
0601URA0d       20090101002450100000005000 0000046970001915   
0601URA0d       20090101002455100000005000 0000047080001916   
0601URA0d       20090101002460100000005000 0000047220001918   
0601URA0d       20090101002465100000005000 0000047340001919   
0601URA0d       20090101002470100000005000 0000047460001920   
0601URA0d       20090101002475100000005000 0000047600001921   
0601URA0d       20090101002480100000005000 0000047710001922   
0601URA0d       20090101002485100000005000 0000047830001923   
0601URA0d       20090101002490100000005000 0000047970001925   
0601URA0d       20090101002495100000005000 0000048080001925   
0601URA0d       20090101002500100000005000 0000048200001926   
0601URA0d       20090101002505100000005000 0000048340001928   
0601URA0d       20090101002510100000005000 0000048460001929   
0601URA0d       20090101002515100000005000 0000048600001930   
0601URA0d       20090101002520100000005000 0000048710001931   
0601URA0d       20090101002525100000005000 0000048830001932   
0601URA0d       20090101002530100000005000 0000048970001934   
