00SZ               20081218                                                                                   
0601SZA0d       20090101002180100000005000 0000032950001510   
0601SZA0d       20090101002185100000005000 0000033050001511   
0601SZA0d       20090101002190100000005000 0000033170001513   
0601SZA0d       20090101002195100000005000 0000033260001514   
0601SZA0d       20090101002200100000005000 0000033370001515   
0601SZA0d       20090101002205100000005000 0000033480001517   
0601SZA0d       20090101002210100000005000 0000033570001517   
0601SZA0d       20090101002215100000005000 0000033690001519   
0601SZA0d       20090101002220100000005000 0000033790001520   
0601SZA0d       20090101002225100000005000 0000033880001521   
0601SZA0d       20090101002230100000005000 0000034000001523   
0601SZA0d       20090101002235100000005000 0000034100001524   
0601SZA0d       20090101002240100000005000 0000034200001525   
0601SZA0d       20090101002245100000005000 0000034320001527   
0601SZA0d       20090101002250100000005000 0000034420001528   
0601SZA0d       20090101002255100000005000 0000034520001529   
0601SZA0d       20090101002260100000005000 0000034630001531   
0601SZA0d       20090101002265100000005000 0000034730001532   
0601SZA0d       20090101002270100000005000 0000034840001533   
0601SZA0d       20090101002275100000005000 0000034940001534   
0601SZA0d       20090101002280100000005000 0000035040001535   
0601SZA0d       20090101002285100000005000 0000035160001537   
0601SZA0d       20090101002290100000005000 0000035250001538   
0601SZA0d       20090101002295100000005000 0000035350001539   
0601SZA0d       20090101002300100000005000 0000035470001540   
0601SZA0d       20090101002305100000005000 0000035560001541   
0601SZA0d       20090101002310100000005000 0000035670001542   
0601SZA0d       20090101002315100000005000 0000035790001544   
0601SZA0d       20090101002320100000005000 0000035880001545   
0601SZA0d       20090101002325100000005000 0000036000001547   
0601SZA0d       20090101002330100000005000 0000036100001548   
0601SZA0d       20090101002335100000005000 0000036190001548   
0601SZA0d       20090101002340100000005000 0000036310001550   
0601SZA0d       20090101002345100000005000 0000036410001551   
0601SZA0d       20090101002350100000005000 0000036510001552   
0601SZA0d       20090101002355100000005000 0000036620001553   
0601SZA0d       20090101002360100000005000 0000036720001554   
0601SZA0d       20090101002365100000005000 0000036830001556   
0601SZA0d       20090101002370100000005000 0000036930001557   
0601SZA0d       20090101002375100000005000 0000037030001558   
0601SZA0d       20090101002380100000005000 0000037140001559   
0601SZA0d       20090101002385100000005000 0000037240001560   
0601SZA0d       20090101002390100000005000 0000037350001561   
0601SZA0d       20090101002395100000005000 0000037460001562   
0601SZA0d       20090101002400100000005000 0000037560001563   
0601SZA0d       20090101002405100000005000 0000037670001565   
0601SZA0d       20090101002410100000005000 0000037770001566   
0601SZA0d       20090101002415100000005000 0000037870001566   
0601SZA0d       20090101002420100000005000 0000037990001568   
0601SZA0d       20090101002425100000005000 0000038090001569   
0601SZA0d       20090101002430100000005000 0000038180001570   
0601SZA0d       20090101002435100000005000 0000038300001571   
0601SZA0d       20090101002440100000005000 0000038400001572   
0601SZA0d       20090101002445100000005000 0000038500001573   
0601SZA0d       20090101002450100000005000 0000038610001574   
0601SZA0d       20090101002455100000005000 0000038710001575   
0601SZA0d       20090101002460100000005000 0000038820001576   
0601SZA0d       20090101002465100000005000 0000038920001577   
0601SZA0d       20090101002470100000005000 0000039030001579   
0601SZA0d       20090101002475100000005000 0000039140001580   
0601SZA0d       20090101002480100000005000 0000039240001581   
0601SZA0d       20090101002485100000005000 0000039340001582   
0601SZA0d       20090101002490100000005000 0000039450001583   
0601SZA0d       20090101002495100000005000 0000039550001584   
0601SZA0d       20090101002500100000005000 0000039660001585   
0601SZA0d       20090101002505100000005000 0000039760001586   
0601SZA0d       20090101002510100000005000 0000039860001586   
0601SZA0d       20090101002515100000005000 0000039980001588   
0601SZA0d       20090101002520100000005000 0000040070001589   
0601SZA0d       20090101002525100000005000 0000040170001589   
0601SZA0d       20090101002530100000005000 0000040290001591   
0601SZA0d       20090101002535100000005000 0000040390001592   
0601SZA0d       20090101002540100000005000 0000040480001592   
0601SZA0d       20090101002545100000005000 0000040610001594   
0601SZA0d       20090101002550100000005000 0000040700001595   
0601SZA0d       20090101002555100000005000 0000040810001596   
0601SZA0d       20090101002560100000005000 0000040920001597   
0601SZA0d       20090101002565100000005000 0000041020001598   
0601SZA0d       20090101002570100000005000 0000041130001599   
0601SZA0d       20090101002575100000005000 0000041230001600   
0601SZA0d       20090101002580100000005000 0000041330001600   
0601SZA0d       20090101002585100000005000 0000041440001602   
0601SZA0d       20090101002590100000005000 0000041540001602   
0601SZA0d       20090101002595100000005000 0000041650001603   
0601SZA0d       20090101002600100000005000 0000041750001604   
0601SZA0d       20090101002605100000005000 0000041850001605   
0601SZA0d       20090101002610100000005000 0000041970001607   
0601SZA0d       20090101002615100000005000 0000042060001607   
0601SZA0d       20090101002620100000005000 0000042170001608   
0601SZA0d       20090101002625100000005000 0000042290001610   
0601SZA0d       20090101002630100000005000 0000042380001610   
0601SZA0d       20090101002635100000005000 0000042480001611   
0601SZA0d       20090101002640100000005000 0000042600001612   
0601SZA0d       20090101002645100000005000 0000042690001612   
0601SZA0d       20090101002650100000005000 0000042800001614   
0601SZA0d       20090101002655100000005000 0000042910001615   
0601SZA0d       20090101002660100000005000 0000043000001615   
0601SZA0d       20090101002665100000005000 0000043120001616   
0601SZA0d       20090101002670100000005000 0000043220001617   
0601SZA0d       20090101002675100000005000 0000043320001618   
0601SZA0d       20090101002680100000005000 0000043430001619   
0601SZA0d       20090101002685100000005000 0000043530001620   
0601SZA0d       20090101002690100000005000 0000043630001620   
0601SZA0d       20090101002695100000005000 0000043740001622   
0601SZA0d       20090101002700100000005000 0000043850001623   
0601SZA0d       20090101002705100000005000 0000043950001623   
0601SZA0d       20090101002710100000005000 0000044060001624   
0601SZA0d       20090101002715100000005000 0000044160001625   
