00GL               20090106                                                                                   
0601GLA1d       20090101000965100000005000 0100014003501447   
0601GLA1d       20090101000970100000005000 0100014120501452   
0601GLA1d       20090101000975100000005000 0100014238001457   
0601GLA1d       20090101000980100000005000 0100014355001462   
0601GLA1d       20090101000985100000005000 0100014472501465   
0601GLA1d       20090101000990100000005000 0100014613001472   
0601GLA1d       20090101000995100000005000 0100014730001477   
0601GLA1d       20090101001000100000005000 0100014847501481   
0601GLA1d       20090101001005100000005000 0100014964501485   
0601GLA1d       20090101001010100000005000 0100015089001490   
0601GLA1d       20090101001015100000005000 0100015215501496   
0601GLA1d       20090101001020100000005000 0100015342001500   
0601GLA1d       20090101001025100000005000 0100015468501506   
0601GLA1d       20090101001030100000005000 0100015594501510   
0601GLA1d       20090101001035100000005000 0100015721001515   
0601GLA1d       20090101001040100000005000 0100015847501520   
0601GLA1d       20090101001045100000005000 0100015973501525   
0601GLA1d       20090101001050100000005000 0100016100001530   
0601GLA1d       20090101001055100000005000 0100016226501535   
0601GLA1d       20090101001060100000005000 0100016353001539   
0601GLA1d       20090101001065100000005000 0100016504501546   
0601GLA1d       20090101001070100000005000 0100016631001551   
0601GLA1d       20090101001075100000005000 0100016757501555   
0601GLA1d       20090101001080100000005000 0100016883501559   
0601GLA1d       20090101001085100000005000 0100017010001564   
0601GLA1d       20090101001090100000005000 0100017161501571   
0601GLA1d       20090101001095100000005000 0100017289501575   
0601GLA1d       20090101001100100000005000 0100017418501580   
0601GLA1d       20090101001105100000005000 0100017547001585   
0601GLA1d       20090101001110100000005000 0100017676001589   
0601GLA1d       20090101001115100000005000 0100017830501596   
0601GLA1d       20090101001120100000005000 0100017959501600   
0601GLA1d       20090101001125100000005000 0100018114001606   
0601GLA1d       20090101001130100000005000 0100018242501611   
0601GLA1d       20090101001135100000005000 0100018371501615   
0601GLA1d       20090101001140100000005000 0100018526001622   
0601GLA1d       20090101001145100000005000 0100018655001626   
0601GLA1d       20090101001150100000005000 0100018783501630   
0601GLA1d       20090101001155100000005000 0100018938001636   
0601GLA1d       20090101001160100000005000 0100019067001640   
0601GLA1d       20090101001165100000005000 0100019196001645   
0601GLA1d       20090101001170100000005000 0100019350501650   
0601GLA1d       20090101001175100000005000 0100019479001654   
0601GLA1d       20090101001180100000005000 0100019633501660   
0601GLA1d       20090101001185100000005000 0100019762501664   
0601GLA1d       20090101001190100000005000 0100019891501668   
0601GLA1d       20090101001195100000005000 0100020046001674   
0601GLA1d       20090101001200100000005000 0100020174501677   
0601GLA1d       20090101001205100000005000 0100020303501681   
0601GLA1d       20090101001210100000005000 0100020458001687   
0601GLA1d       20090101001215100000005000 0100020587001691   
0601GLA1d       20090101001220100000005000 0100020715501695   
0601GLA1d       20090101001225100000005000 0100020870001700   
