00BE               20081114                                                                                   
0601BEA0d       20090101002565100000005000 0000074850002915   
0601BEA0d       20090101002570100000005000 0000075070002918   
0601BEA0d       20090101002575100000005000 0000075250002919   
0601BEA0d       20090101002580100000005000 0000075430002921   
0601BEA0d       20090101002585100000005000 0000075640002923   
0601BEA0d       20090101002590100000005000 0000075820002925   
0601BEA0d       20090101002595100000005000 0000076000002926   
0601BEA0d       20090101002600100000005000 0000076210002928   
0601BEA0d       20090101002605100000005000 0000076390002930   
0601BEA0d       20090101002610100000005000 0000076610002932   
0601BEA0d       20090101002615100000005000 0000076790002934   
0601BEA0d       20090101002620100000005000 0000076970002935   
0601BEA0d       20090101002625100000005000 0000077180002937   
0601BEA0d       20090101002630100000005000 0000077360002939   
0601BEA0d       20090101002635100000005000 0000077540002940   
0601BEA0d       20090101002640100000005000 0000077750002942   
0601BEA0d       20090101002645100000005000 0000077930002944   
0601BEA0d       20090101002650100000005000 0000078110002945   
0601BEA0d       20090101002655100000005000 0000078330002948   
0601BEA0d       20090101002660100000005000 0000078500002948   
0601BEA0d       20090101002665100000005000 0000078720002951   
0601BEA0d       20090101002670100000005000 0000078900002952   
