00TG               20081204                                                                                   
0601TGA1+       20090101000125100000005000 0100000040000031   
0601TGA1+       20090101000130100000005000 0100000040000030   
0601TGA1+       20090101000135100000005000 0100000040000029   
0601TGA1+       20090101000140100000005000 0100000040000028   
0601TGA1+       20090101000145100000005000 0100000040000027   
0601TGA1+       20090101000150100000005000 0100000040000026   
0601TGA1+       20090101000155100000005000 0100000040000025   
0601TGA1+       20090101000160100000005000 0100000040000025   
0601TGA1+       20090101000165100000005000 0100000040000024   
0601TGA1+       20090101000170100000005000 0100000040000023   
0601TGA1+       20090101000175100000005000 0100000040000023   
0601TGA1+       20090101000180100000005000 0100000040000022   
0601TGA1+       20090101000185100000005000 0100000040000021   
0601TGA1+       20090101000190100000005000 0100000040000021   
0601TGA1+       20090101000195100000005000 0100000040000020   
0601TGA1+       20090101000200100000005000 0100000040000020   
0601TGA1+       20090101000205100000005000 0100000040000019   
0601TGA1+       20090101000210100000005000 0100000040000019   
0601TGA1+       20090101000215100000005000 0100000040000018   
0601TGA1+       20090101000220100000005000 0100000040000018   
0601TGA1+       20090101000225100000005000 0100000040000018   
0601TGA1+       20090101000230100000005000 0100000040000017   
0601TGA1+       20090101000235100000005000 0100000040000017   
0601TGA1+       20090101000240100000005000 0100000040000016   
0601TGA1+       20090101000245100000005000 0100000040000016   
0601TGA1+       20090101000250100000005000 0100000040000016   
0601TGA1+       20090101000255100000005000 0100000040000016   
0601TGA1+       20090101000260100000005000 0100000190000072   
0601TGA1+       20090101000265100000005000 0100000230000086   
0601TGA1+       20090101000270100000005000 0100000270000099   
0601TGA1+       20090101000275100000005000 0100000330000119   
0601TGA1+       20090101000280100000005000 0100000380000135   
0601TGA1+       20090101000285100000005000 0100000440000153   
0601TGA1+       20090101000290100000005000 0100000500000171   
0601TGA1+       20090101000295100000005000 0100000560000188   
0601TGA1+       20090101000300100000005000 0100000620000205   
0601TGA1+       20090101000305100000005000 0100000690000224   
0601TGA1+       20090101000310100000005000 0100000760000243   
0601TGA1+       20090101000315100000005000 0100000830000261   
0601TGA1+       20090101000320100000005000 0100000910000282   
0601TGA1+       20090101000325100000005000 0100000990000302   
0601TGA1+       20090101000330100000005000 0100001080000325   
0601TGA1+       20090101000335100000005000 0100001160000344   
0601TGA1+       20090101000340100000005000 0100001240000362   
0601TGA1+       20090101000345100000005000 0100001330000383   
0601TGA1+       20090101000350100000005000 0100001410000400   
0601TGA1+       20090101000355100000005000 0100001500000420   
0601TGA1+       20090101000360100000005000 0100001580000436   
0601TGA1+       20090101000365100000005000 0100001670000454   
0601TGA1+       20090101000370100000005000 0100001750000470   
0601TGA1+       20090101000375100000005000 0100001840000487   
0601TGA1+       20090101000380100000005000 0100001920000502   
0601TGA1+       20090101000385100000005000 0100002000000516   
0601TGA1+       20090101000390100000005000 0100002090000532   
0601TGA1+       20090101000395100000005000 0100002170000546   
0601TGA1+       20090101000400100000005000 0100002270000564   
0601TGA1+       20090101000405100000005000 0100002390000587   
0601TGA1+       20090101000410100000005000 0100002490000604   
