00SO               20071026                                                                                   
0601SOA0+       20080101000245100000005000 0000001440000582   
0601SOA0+       20080101000250100000005000 0000001510000598   
0601SOA0+       20080101000255100000005000 0000001590000617   
0601SOA0+       20080101000260100000005000 0000001670000636   
0601SOA0+       20080101000265100000005000 0000001740000650   
0601SOA0+       20080101000270100000005000 0000001820000668   
0601SOA0+       20080101000275100000005000 0000001900000685   
0601SOA0+       20080101000280100000005000 0000001980000701   
0601SOA0+       20080101000285100000005000 0000002070000720   
0601SOA0+       20080101000290100000005000 0000002160000738   
0601SOA0+       20080101000295100000005000 0000002250000756   
0601SOA0+       20080101000300100000005000 0000002330000770   
0601SOA0+       20080101000305100000005000 0000002420000787   
0601SOA0+       20080101000310100000005000 0000002510000803   
0601SOA0+       20080101000315100000005000 0000002600000819   
0601SOA0+       20080101000320100000005000 0000002680000831   
0601SOA0+       20080101000325100000005000 0000002770000846   
0601SOA0+       20080101000330100000005000 0000002860000860   
0601SOA0+       20080101000335100000005000 0000002950000874   
0601SOA0+       20080101000340100000005000 0000003040000888   
0601SOA0+       20080101000345100000005000 0000003140000904   
0601SOA0+       20080101000350100000005000 0000003240000919   
0601SOA0+       20080101000355100000005000 0000003340000934   
0601SOA0+       20080101000360100000005000 0000003440000949   
0601SOA0+       20080101000365100000005000 0000003530000961   
0601SOA0+       20080101000370100000005000 0000003630000974   
0601SOA0+       20080101000375100000005000 0000003730000988   
0601SOA0+       20080101000380100000005000 0000003830001001   
0601SOA0+       20080101000385100000005000 0000003930001014   
0601SOA0+       20080101000390100000005000 0000004030001027   
0601SOA0+       20080101000395100000005000 0000004130001039   
0601SOA0+       20080101000400100000005000 0000004230001051   
0601SOA0+       20080101000405100000005000 0000004330001063   
0601SOA0+       20080101000410100000005000 0000004440001076   
0601SOA0+       20080101000415100000005000 0000004540001087   
0601SOA0+       20080101000420100000005000 0000004640001098   
0601SOA0+       20080101000425100000005000 0000004750001111   
0601SOA0+       20080101000430100000005000 0000004860001124   
0601SOA0+       20080101000435100000005000 0000004970001136   
0601SOA0+       20080101000440100000005000 0000005080001148   
0601SOA0+       20080101000445100000005000 0000005190001160   
0601SOA0+       20080101000450100000005000 0000005300001171   
0601SOA0+       20080101000455100000005000 0000005410001183   
0601SOA0+       20080101000460100000005000 0000005520001194   
0601SOA0+       20080101000465100000005000 0000005640001206   
0601SOA0+       20080101000470100000005000 0000005750001217   
0601SOA0+       20080101000475100000005000 0000005860001227   
0601SOA0+       20080101000480100000005000 0000005970001237   
0601SOA0+       20080101000485100000005000 0000006080001247   
0601SOA0+       20080101000490100000005000 0000006190001257   
0601SOA0+       20080101000495100000005000 0000006310001268   
0601SOA0+       20080101000500100000005000 0000006420001278   
0601SOA0+       20080101000505100000005000 0000006530001287   
0601SOA0+       20080101000510100000005000 0000006640001296   
0601SOA0+       20080101000515100000005000 0000006750001304   
0601SOA0+       20080101000520100000005000 0000006860001313   
